code,name,weight,polling_stations,estimate_votes,estimate_hu,estimate_voters,valid_mail_2020,valid_no_mail_2020,turnout_no_mail_2020,weight_2020,estimate_valid_no_mail,2023,
101,Bratislava I,0.00952535682244739,34,27287.7867538171,0,36304,931,29439,0.751646836541899,0.0102165148770905,27287.7867538171,, 39 166
102,Bratislava II,0.0250050716822464,102,71633.3336952866,0,100491,1353,74181,0.712833325325518,0.0257437851182938,71633.3336952866,, 104 065
103,Bratislava III,0.0153506631235889,69,43975.845698403,0,60126,954,44471,0.731394832491818,0.0154332223614624,43975.845698403,, 60 803
104,Bratislava IV,0.0217517671129863,90,62313.4223275592,0,84832,1273,63225,0.734550904464815,0.0219416132716481,62313.4223275592,, 86 073
105,Bratislava V,0.0225674945460052,103,64650.2792722777,0,100622,1362,72751,0.642506402896759,0.0252475177085911,64650.2792722777,, 113 230
106,Malacky,0.0145737560820832,59,41750.1995550287,0,62011,371,41458,0.673270864121344,0.0143875903996202,41750.1995550287,, 61 577
107,Pezinok,0.0140558323843958,54,40266.4765112958,0,54428,526,40410,0.739811797444253,0.0140238923259359,40266.4765112958,, 54 622
108,Senec,0.0199008941861319,76,57011.1300693423,0,75702,646,53760,0.753099390628283,0.0186568782836505,57011.1300693423,, 71 385
201,Dunajská Streda,0.0222315948207401,127,63688.0098009547,0.599644241153675,104108,297,62667,0.611749431368912,0.02174796486982,63688.0098009547,, 102 439
202,Galanta,0.0175680545254327,84,50328.1225580655,0.23845821382264,78210,339,50563,0.643499840916322,0.0175473909348255,50328.1225580655,, 78 575
203,Hlohovec,0.00834141192550374,44,23896.0780253909,0,35772,225,24520,0.66801067945295,0.00850942439574237,23896.0780253909,, 38 895
204,Piešťany,0.0122315289163983,46,35040.2991683482,0,51812,526,35862,0.676296980783375,0.0124455537389932,35040.2991683482,, 36 706
205,Senica,0.0108390454113362,63,31051.1790070124,0,48646,286,31768,0.638308987522353,0.0110247713786274,31051.1790070124,, 53 027
206,Skalica,0.00863574107714181,53,24739.2581051549,0,38054,221,25286,0.650109268543515,0.00877525714807266,24739.2581051549,, 49 769
207,Trnava,0.0262406748564929,113,75173.0305864017,0,106769,784,75894,0.704071692967076,0.0263382648894972,75173.0305864017,, 107 793
301,Bánovce nad Bebravou,0.00690351310980075,62,19776.8542537414,0,29384,202,19968,0.673048402318997,0.00692969764821304,19776.8542537414,, 29 668
302,Ilava,0.011228154702729,53,32165.8806990724,0,47409,432,32843,0.678476253434421,0.0113978395362711,32165.8806990724,, 37 164
303,Myjava,0.00483848381867434,60,13861.0570834087,0,21325,203,14370,0.649990953500995,0.00498696690729274,13861.0570834087,, 48 407
304,Nové Mesto nad Váhom,0.0119607432405069,32,34264.5653121319,0,50369,398,34653,0.680270906949352,0.012025982201699,34264.5653121319,, 22 108
305,Partizánske,0.00844685044011271,71,24198.1332403209,0,36686,313,24584,0.659601298596764,0.00853163496512767,24198.1332403209,, 51 168
