code,name,weight,polling_stations,estimate_votes,estimate_hu,estimate_voters,valid_mail_2020,valid_no_mail_2020,turnout_no_mail_2020,weight_2020,estimate_valid_no_mail,2023,
306,Považská Bystrica,0.0120699697758825,67,34577.4722678236,0,50379,498,35119,0.68634693558474,0.0121877029100357,34577.4722678236,, 50 940
307,Prievidza,0.0252849806109618,135,72435.2034099493,0,108904,1159,73965,0.665128952195964,0.0256688244466185,72435.2034099493,, 111 204
308,Púchov,0.00853761307805268,50,24458.1457055215,0,35943,288,25289,0.680470347648262,0.0087762982685126,24458.1457055215,, 37 271
309,Trenčín,0.0228151430127672,116,65359.7307581251,0,93112,1136,65637,0.701947447784658,0.0227786741053565,65359.7307581251,, 93 507
401,Komárno,0.0149122940509866,108,42720.0269405744,0.537431818181818,82451,266,43734,0.518126243957919,0.0151774537733849,42720.0269405744,, 84 408
402,Levice,0.0190952022906363,162,54703.0224526542,0.169914208067639,90604,636,55663,0.603759463739506,0.0193172956827165,54703.0224526542,, 92 194
403,Nitra,0.0316221884779019,165,90589.7334827914,0,134230,1088,91515,0.674884403507349,0.0317593790202432,90589.7334827914,, 135 601
404,Nové Zámky,0.0239272724453171,42,68545.7059781344,0.220657096798956,113535,569,70078,0.603740749356009,0.0243198793966082,68545.7059781344,, 42 547
405,Šaľa,0.0088472458778599,88,25345.1669447905,0,41729,212,25842,0.607375373116788,0.00896821146960744,25345.1669447905,, 59 560
406,Topoľčany,0.0134294294393734,46,38471.9873069174,0,58317,422,39292,0.659704499664204,0.0136359014419865,38471.9873069174,, 34 266
407,Zlaté Moravce,0.00800104472022337,136,22921.0103309403,0.240548077059182,33755,241,23268,0.679040448257748,0.00807493013214248,22921.0103309403,, 116 073
501,Bytča,0.00601541916121965,32,17232.6851755683,0,25186,150,17128,0.684216833779411,0.00594410363174043,17232.6851755683,, 13 691
502,Čadca,0.0156070943806374,34,44710.4577018991,0,71358,401,45728,0.626565454495629,0.0158694518257956,44710.4577018991,, 25 033
503,Dolný Kubín,0.00766590841319559,77,21960.9278636794,0,31253,433,22268,0.702682234143263,0.00772788998549719,21960.9278636794,, 72 982
504,Kysucké Nové Mesto,0.00642963569746408,32,18419.3129021334,0,26589,163,18411,0.69274184445197,0.00638935613988633,18419.3129021334,, 28 637
505,Liptovský Mikuláš,0.0140674914259118,43,40299.876775934,0,59329,718,41547,0.67926101528652,0.0144184769726716,40299.876775934,, 31 690
506,Martin,0.0183971459900597,28,52703.2641415113,0,77304,906,53188,0.6817663269884,0.0184583713197694,52703.2641415113,, 26 577
507,Námestovo,0.0116497831953072,106,33373.7418437271,0,47352,382,32707,0.704801103305607,0.0113506420763273,33373.7418437271,, 78 015
508,Ružomberok,0.0111297288074857,59,31883.9149007807,0,46560,535,32542,0.684791986700617,0.0112933804521308,31883.9149007807,, 47 521
509,Turčianske Teplice,0.00312741764689331,96,8959.27653202834,0,13265,94,9247,0.675407201811409,0.00320908023602894,8959.27653202834,, 61 165
510,Tvrdošín,0.00723234641751726,50,20718.880189964,0,28212,345,21031,0.734399553025806,0.00729860132409698,20718.880189964,, 46 406
511,Žilina,0.0319817111461342,159,91619.6768315558,0,130025,1384,92034,0.70463123885065,0.0319394928563521,91619.6768315558,, 130 613
601,Banská Bystrica,0.0213702961976931,130,61220.6026901076,0,89068,1435,62242,0.687346776509044,0.0216004728074958,61220.6026901076,, 90 554
602,Banská Štiavnica,0.00285312497494707,75,8173.49600120718,0,12709,104,8524,0.643126603289573,0.0029581702100044,8173.49600120718,, 55 194
603,Brezno,0.0101211019550291,23,28994.4489230708,0,48389,464,30073,0.599195042738449,0.0104365383300636,28994.4489230708,, 13 254
604,Detva,0.00580676895089233,66,16634.9540299871,0.167267483777938,25682,207,17021,0.647728137605602,0.00590697033604939,16634.9540299871,, 30 383
605,Krupina,0.00386322943311476,151,11067.1949531041,0.31927657173403,17348,129,11427,0.637952210808397,0.00396562775571566,11067.1949531041,, 63 118
606,Lučenec,0.010535995249791,66,30183.0153950764,0,56543,495,30617,0.533806402120092,0.0106253281698387,30183.0153950764,, 50 189
607,Poltár,0.0035262688010117,44,10101.8862466007,0,16885,120,10340,0.598275762309784,0.00358839511631224,10101.8862466007,, 26 278
608,Revúca,0.00520542564601105,45,14912.2544844156,0,30053,181,15076,0.496198532073857,0.00523197725082431,14912.2544844156,, 17 912
609,Rimavská Sobota,0.0115396078107823,97,33058.1166703634,0.161706094111597,62652,369,33304,0.52764663012136,0.0115578250438746,33058.1166703634,, 57 356
610,Veľký Krtíš,0.00675345912492131,37,19346.9867729452,0,34132,239,19627,0.566828394847802,0.006811356958207,19346.9867729452,, 17 283
611,Zvolen,0.0126455557259669,83,36226.3833750045,0.211013792409141,54884,720,36431,0.660053629017647,0.0126430195824344,36226.3833750045,, 34 626
612,Žarnovica,0.00464809432817517,35,13315.6383748239,0,20589,170,13769,0.646735556599342,0.00477839577915892,13315.6383748239,, 21 290
613,Žiar nad Hronom,0.00833573054498499,56,23879.8022781457,0,36924,335,24414,0.646728476821192,0.00847263814019797,23879.8022781457,, 37 750
701,Bardejov,0.0129771551819315,116,37176.3336404604,0,59971,856,37004,0.61990518151207,0.0128418735864621,37176.3336404604,, 59 693
702,Humenné,0.0101280514650561,87,29014.3575470935,0,49327,753,29102,0.588204381922548,0.0100995623476711,29014.3575470935,, 49 476
703,Kežmarok,0.0106052049488587,30,30381.2840315863,0,53696,634,30022,0.565801624545335,0.0104188392825847,30381.2840315863,, 9 094
704,Levoča,0.00546061383675783,93,15643.3054110098,0,25847,239,15469,0.605227121561876,0.0053683640284559,15643.3054110098,, 85 220
705,Medzilaborce,0.0016838042802598,68,4823.68198812404,0,8967,101,4892,0.537937101385529,0.00169772039738873,4823.68198812404,, 53 061
706,Poprad,0.0183777411442532,170,52647.6740671204,0,82224,1400,54566,0.640295705233513,0.0189365926418466,52647.6740671204,, 133 669
707,Prešov,0.0308044074347566,63,88246.9934539796,0,135666,2298,86948,0.650472435643268,0.0301744466705142,88246.9934539796,, 43 695
708,Sabinov,0.00961435982575584,48,27542.7583018652,0,44422,386,27092,0.620025174505092,0.00940201165291404,27542.7583018652,, 28 970
709,Snina,0.0054368178945878,47,15575.1359337245,0,28632,323,15759,0.543976527442182,0.00546900567098304,15575.1359337245,, 25 559
710,Stará Ľubovňa,0.00836209566308314,62,23955.3318077803,0,40040,428,23792,0.598285010184324,0.00825677916898461,23955.3318077803,, 39 767
711,Stropkov,0.00324795417810271,52,9304.58382297787,0,15951,252,9332,0.583322915364421,0.00323857864849379,9304.58382297787,, 15 998
712,Svidník,0.00520866304714146,78,14921.5288363722,0,25619,303,14886,0.582439940527428,0.0051660396229617,14921.5288363722,, 25 558
713,Vranov nad Topľou,0.0121156090993635,93,34708.2176194101,0,61225,546,34253,0.566896163649002,0.0118871661430409,34708.2176194101,, 60 422
801,Gelnica,0.00439551776795463,52,12592.0691224817,0,23651,177,12632,0.532411700244458,0.00438381113242323,12592.0691224817,, 17 739
802,Košice I,0.0116657380176608,32,33419.4484558987,0,53483,1190,33750,0.624861141968451,0.0117126049492783,33419.4484558987,, 23 726
803,Košice II,0.0132039638516627,59,37826.0842722642,0,64250,1227,38144,0.588732829140299,0.0132374993536377,37826.0842722642,, 54 012
804,Košice III,0.00489831927048178,60,14032.4708246128,0,23752,355,14114,0.59079112599414,0.00489812462975154,14032.4708246128,, 64 790
805,Košice IV,0.0102872388265024,22,29470.3898883505,0,47432,730,29494,0.621318727617443,0.010235602085156,29470.3898883505,, 23 890
806,Košice - okolie,0.0205189855972147,52,58781.8087887208,0,99388,817,57470,0.591437686528764,0.0199443972277045,58781.8087887208,, 47 470
807,Michalovce,0.0155803279557354,149,44633.778527722,0,85722,905,44589,0.520680554906815,0.0154741730987666,44633.778527722,, 97 170
808,Rožňava,0.00891905729489783,88,25550.8888585358,0.222328026205531,46923,341,25913,0.544528032277045,0.00899285132001925,25550.8888585358,, 47 588
809,Sobrance,0.00351633189423664,131,10073.4194712216,0,17626,139,10138,0.57150910423361,0.00351829300668989,10073.4194712216,, 85 636
810,Spišská Nová Ves,0.0148500018759565,82,42541.5752961544,0,74333,970,41983,0.572310754256581,0.014569786476609,42541.5752961544,, 73 357
811,Trebišov,0.014333219193256,128,41061.1209775967,0.196655840250211,81033,513,41052,0.506720977596741,0.0142466921000822,41061.1209775967,, 81 015
900,Zahraničie,0.0225614628646687,18,64633,0,64633,3825,0,0,0.0167773088494196,64633,, 4 116
