OKRES|PS|P_HL_PS
205|6|1614
205|15|1327
205|2|958
205|9|822
205|17|788
205|25|181
205|7|79
205|1|70
205|18|60
205|10|46
205|20|35
205|21|27
205|13|27
205|5|19
205|23|16
205|14|13
205|22|10
205|16|4
206|11|9869
206|19|3504
206|4|2090
206|24|1979
206|6|1645
206|3|1642
206|12|1532
206|15|990
206|9|776
206|2|570
206|17|509
206|25|129
206|7|62
206|18|46
206|1|42
206|20|33
206|10|16
206|23|15
206|13|15
206|21|13
206|5|11
206|16|7
206|14|7
206|22|5
207|11|26080
207|19|14282
207|24|6180
207|4|5916
207|12|5303
207|3|4999
207|6|3456
207|15|3216
207|17|2041
207|9|1955
207|2|1895
207|25|380
207|7|193
207|18|191
207|10|148
207|1|110
207|20|74
207|5|63
207|21|47
207|13|43
207|23|39
207|14|25
207|16|24
207|22|18
301|19|5406
301|11|4404
301|4|2269
301|24|1985
301|12|1043
301|9|920
301|15|851
301|3|844
301|17|722
301|6|702
301|2|612
301|25|142
301|7|65
301|1|45
301|20|32
301|18|25
301|10|24
301|21|23
301|5|22
301|23|12
301|14|8
301|13|8
301|16|4
301|22|2
302|19|8189
302|11|7397
302|4|3334
302|24|3212
302|12|1905
302|3|1773
302|15|1540
302|17|1420
302|9|1382
302|6|1304
302|2|1123
302|25|272
302|7|75
302|1|64
302|18|57
302|10|53
302|20|44
302|23|34
302|13|28
302|5|24
302|21|17
302|16|13
302|14|10
302|22|5
303|11|4034
303|19|3120
303|4|1310
303|12|1226
303|3|1066
303|24|1009
303|6|752
303|2|584
303|9|438
303|17|432
303|15|177
303|25|88
303|7|79
303|10|68
303|13|54
303|20|39
303|1|30
303|21|20
303|18|14
303|23|10
303|5|8
303|22|6
303|14|5
303|16|4
304|11|9649
304|19|7477
304|4|3527
304|24|3103
304|12|2439
304|3|2104
304|6|1673
304|15|1177
304|17|1126
304|9|1030
304|2|998
304|25|217
304|7|103
304|1|90
304|13|71
304|18|68
304|10|47
304|20|30
304|5|30
304|21|28
304|23|24
304|14|20
304|16|12
304|22|8
305|19|6321
305|11|5554
305|4|2728
305|24|2394
305|15|1285
305|3|1262
305|12|1224
305|9|986
305|17|947
305|2|929
305|6|853
305|25|147
305|7|56
305|1|39
305|10|34
305|18|33
305|20|26
305|21|19
305|23|19
305|5|13
305|13|12
305|14|8
305|22|4
305|16|4
306|19|8675
306|11|7276
306|24|4128
306|4|3264
306|12|2300
306|9|1935
306|3|1851
306|6|1513
306|17|1444
306|15|1401
306|2|1107
306|25|260
